受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),エリアプライス四国(円/kWh)
2025/7/14,31,27281500,25706150,21067000,12.38
2025/7/14,32,27567050,25887450,20851250,16
2025/7/14,33,28761100,26407900,21445800,15.94
2025/7/14,34,27989700,26063600,21038700,17.41
2025/7/14,35,27658300,25566500,20586100,16.02
2025/7/14,36,26913850,25147100,20032350,17.9
2025/7/14,37,26907300,24415550,19619400,17.56
2025/7/14,38,26720550,24532150,19439750,17.78
2025/7/14,39,26825700,24140500,19183600,17.5
2025/7/14,40,24814850,23598450,18820800,16.23
2025/7/14,41,26195350,21748050,17176500,15.5
2025/7/14,42,24145050,21684300,16851100,14
2025/7/14,43,24127900,20993400,16124250,12.05
2025/7/14,44,24405400,20822500,16154600,11.89
2025/7/14,45,24586600,20583050,15892350,12.31
2025/7/14,46,25001750,20159450,15637000,11.85
2025/7/14,47,24606250,19565700,15434650,11.53
2025/7/14,48,23853000,18453800,15417750,9.91
2025/7/15,1,23713400,19073000,15198500,10.36
2025/7/15,2,25464500,18994500,15282000,9
2025/7/15,3,26027450,19101650,15366550,7
2025/7/15,4,25971400,19118400,14977200,6.84
2025/7/15,5,25923000,19655700,14965000,6.91
2025/7/15,6,26120750,19626200,14980650,6.91
2025/7/15,7,26162200,19614850,14978850,7
2025/7/15,8,26136500,19452900,14942450,7.2
2025/7/15,9,26304950,19140350,14997650,6.95
2025/7/15,10,26404250,19297700,15082200,7
2025/7/15,11,26661200,19305000,15156350,7.41
2025/7/15,12,27096600,19244250,15666650,7.05
2025/7/15,13,27959150,19898550,15960400,6.83
2025/7/15,14,28883000,20213200,16327100,5
2025/7/15,15,28762850,21188000,16941400,3.09
2025/7/15,16,28535600,22366350,17575250,3.09
2025/7/15,17,27795800,23543750,18745050,2.09
2025/7/15,18,27360100,25230000,19564200,3.09
2025/7/15,19,27656100,26622650,20675950,2.09
2025/7/15,20,27798500,27137150,21261000,2.09
2025/7/15,21,28880650,27560400,21836200,0.01
2025/7/15,22,29653550,27906350,22194750,0.01
2025/7/15,23,29646750,28050600,22337900,0.01
2025/7/15,24,29825750,28153400,22348250,0.01
2025/7/15,25,30198750,27465050,21889400,0.01
2025/7/15,26,30113550,27494900,21979400,0.01
2025/7/15,27,29421150,28221100,22676650,0.01
2025/7/15,28,29389250,28280700,22448800,0.02
2025/7/15,29,29280600,27798650,22492900,3.09
2025/7/15,30,28561750,27781100,22308700,3.09
2025/7/15,31,28497900,27187050,21855850,4
2025/7/15,32,29286200,27058600,21556900,6.56
2025/7/15,33,29814700,27695800,22326000,6.6
2025/7/15,34,29032400,27168900,21778850,6.83
2025/7/15,35,28486650,26478150,21286100,6.92
2025/7/15,36,27829100,26020200,20793450,8.5
2025/7/15,37,27506100,25588650,20178600,10.31
2025/7/15,38,27292700,25662500,20018550,12.38
2025/7/15,39,27053550,25739250,19971350,15.02
2025/7/15,40,25727800,25012350,19560450,15.08
2025/7/15,41,26486600,23077750,17993200,16.02
2025/7/15,42,24918850,22525200,17580750,12.63
2025/7/15,43,25101350,22527750,17279350,12.01
2025/7/15,44,25872050,22236000,17024700,8.5
2025/7/15,45,25667250,22132850,16773500,7.31
2025/7/15,46,26028400,21414550,16233850,7
2025/7/15,47,25529800,20809150,16021850,8
2025/7/15,48,24959800,19562850,16104750,10.39
2025/7/16,1,23913550,18947000,14939100,6.92
2025/7/16,2,25194300,18749650,14981300,6.88
2025/7/16,3,25370950,18568200,14946250,6.84
2025/7/16,4,25655450,18182350,14699100,6.81
2025/7/16,5,25758600,18111200,14673450,6.8
2025/7/16,6,26106400,18175650,14704700,6.82
2025/7/16,7,26018300,18356700,14743050,8
2025/7/16,8,25916250,18421950,14635950,9.56
2025/7/16,9,25897200,18193650,14533500,7.62
2025/7/16,10,26019750,18537550,14569400,9.18
2025/7/16,11,25969950,18789250,14678150,9.56
2025/7/16,12,26629250,18682800,15057150,6.85
2025/7/16,13,27758650,19173950,15447200,6.79
2025/7/16,14,28822100,19524200,15981750,6.41
2025/7/16,15,29823450,20447250,16901150,3.09
2025/7/16,16,29683000,21616400,17715850,3.09
2025/7/16,17,29132700,22592350,18919150,4
2025/7/16,18,28544250,23978750,19778450,6.39
2025/7/16,19,28569000,25100500,20346600,6.41
2025/7/16,20,28752400,25708700,20739250,6.01
2025/7/16,21,29674700,26556850,21493550,3.1
2025/7/16,22,29946650,26621650,21749800,3.09
2025/7/16,23,29754000,26972150,21987850,3.09
2025/7/16,24,29545300,26939650,21856700,3.09
2025/7/16,25,30475800,26275750,21725250,3.09
2025/7/16,26,30361750,26366850,21652650,3
2025/7/16,27,29306300,26483900,21887100,3.09
2025/7/16,28,28776250,26486450,21694500,4
2025/7/16,29,30404100,26779300,22273300,6.56
2025/7/16,30,29629400,26559850,21949200,6.62
2025/7/16,31,29247450,26236850,21819400,6.62
2025/7/16,32,29597100,26247350,21525700,6.67
2025/7/16,33,28983000,26304600,21091950,6.77
2025/7/16,34,27925050,25827700,20577500,8
2025/7/16,35,27675100,25243450,19913450,7.13
2025/7/16,36,27060400,24943450,19585450,7.4
2025/7/16,37,27354650,24603200,19320700,10.33
2025/7/16,38,27330950,24215600,18914050,16.08
2025/7/16,39,27234000,23897700,18618750,16.45
2025/7/16,40,25500250,23589800,18371700,16
2025/7/16,41,26306450,22691250,17687900,12.01
2025/7/16,42,26114650,22343450,17002950,7.57
2025/7/16,43,25618250,21391700,15752750,7
2025/7/16,44,26356050,21066350,15702800,6.92
2025/7/16,45,26104800,20823400,15342200,7.49
2025/7/16,46,25690200,20004800,14928350,7.49
2025/7/16,47,25247100,19577900,14923600,7.82
2025/7/16,48,24809100,18436100,14948450,6.91
